year,sport,event,sex,original_change_type,refined_change_type,event_family,standard_event_family,true_new_medal_opportunity_flag,restored_event_flag,rename_or_split_likely_flag,opportunity_delta_vs_prev_games,confidence_level,note
1900,Athletics,Athletics Men's 60 metres,men,added,uncertain,60 metres,,0,0,0,,low,Event family is missing or too generic to classify as a true new opportunity. Rule-based classification; not a perfect rename detector.
1900,Athletics,Athletics Men's Hammer Throw,men,added,true_added,Hammer Throw,hammer throw,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Athletics,Athletics Men's Standing High Jump,men,added,true_added,Standing High Jump,standing high jump,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Athletics,Athletics Men's Standing Long Jump,men,added,true_added,Standing Long Jump,standing long jump,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Athletics,Athletics Men's Standing Triple Jump,men,added,true_added,Standing Triple Jump,standing triple jump,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Basque Pelota,Basque Pelota Men's Two-Man Teams With Cesta,men,added,true_added,Two-Man Teams With Cesta,two man teams cesta,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Cricket,Cricket Men's Cricket,men,added,true_added,Cricket,cricket,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Croquet,Croquet Mixed Doubles,mixed,added,true_added,Doubles,doubles,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Croquet,"Croquet Mixed Singles, One Ball",mixed,added,true_added,"Singles, One Ball",singles one ball,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Croquet,"Croquet Mixed Singles, Two Balls",mixed,added,true_added,"Singles, Two Balls",singles two balls,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Cycling,"Cycling Men's 10,000 metres",men,removed,removed,"10,000 metres",,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Cycling,Cycling Men's 100 kilometres,men,removed,removed,100 kilometres,,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Cycling,Cycling Men's 12-Hours Race,men,removed,removed,12-Hours Race,hours race,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Cycling,Cycling Men's 25 kilometres,men,added,uncertain,25 kilometres,,0,0,0,,low,Event family is missing or too generic to classify as a true new opportunity. Rule-based classification; not a perfect rename detector.
1900,Cycling,Cycling Men's 333 metres Time Trial,men,removed,removed,333 metres Time Trial,time trial,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Cycling,Cycling Men's Points Race,men,added,true_added,Points Race,points race,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Cycling,"Cycling Men's Road Race, Individual",men,removed,removed,"Road Race, Individual",road race individual,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Equestrianism,Equestrianism Mixed Four-In-Hand Competition,mixed,added,true_added,Four-In-Hand Competition,four in hand competition,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Equestrianism,Equestrianism Mixed Hacks And Hunter Combined,mixed,added,true_added,Hacks And Hunter Combined,hacks hunter combined,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Equestrianism,Equestrianism Mixed High Jump,mixed,added,true_added,High Jump,high jump,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Equestrianism,"Equestrianism Mixed Jumping, Individual",mixed,added,true_added,"Jumping, Individual",jumping individual,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Equestrianism,Equestrianism Mixed Long Jump,mixed,added,true_added,Long Jump,long jump,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Fencing,"Fencing Men's Sabre, Masters, Individual",men,added,true_added,"Sabre, Masters, Individual",sabre masters individual,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Fencing,"Fencing Men's epee, Individual",men,added,true_added,"epee, Individual",epee individual,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Fencing,"Fencing Men's epee, Masters and Amateurs, Individual",men,added,true_added,"epee, Masters and Amateurs, Individual",epee masters amateurs individual,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Fencing,"Fencing Men's epee, Masters, Individual",men,added,true_added,"epee, Masters, Individual",epee masters individual,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Football,Football Men's Football,men,added,true_added,Football,football,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Golf,Golf Men's Individual,men,added,true_added,Individual,individual,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Golf,Golf Women's Individual,women,added,true_added,Individual,individual,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Gymnastics,Gymnastics Men's Horizontal Bar,men,removed,removed,Horizontal Bar,horizontal bar,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",men,removed,removed,"Horizontal Bar, Teams",horizontal bar teams,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Gymnastics,Gymnastics Men's Horse Vault,men,removed,removed,Horse Vault,horse vault,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Gymnastics,Gymnastics Men's Individual All-Around,men,added,true_added,Individual All-Around,individual all around,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Gymnastics,Gymnastics Men's Parallel Bars,men,removed,removed,Parallel Bars,parallel bars,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",men,removed,removed,"Parallel Bars, Teams",parallel bars teams,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Gymnastics,Gymnastics Men's Pommelled Horse,men,removed,removed,Pommelled Horse,pommelled horse,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Gymnastics,Gymnastics Men's Rings,men,removed,removed,Rings,rings,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Gymnastics,Gymnastics Men's Rope Climbing,men,removed,removed,Rope Climbing,rope climbing,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Polo,Polo Men's Polo,men,added,true_added,Polo,polo,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Rowing,Rowing Men's Coxed Eights,men,added,true_added,Coxed Eights,coxed eights,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Rowing,Rowing Men's Coxed Fours,men,added,true_added,Coxed Fours,coxed fours,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Rowing,Rowing Men's Coxed Pairs,men,added,true_added,Coxed Pairs,coxed pairs,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Rowing,Rowing Men's Single Sculls,men,added,true_added,Single Sculls,single sculls,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Rugby,Rugby Men's Rugby,men,added,true_added,Rugby,rugby,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Sailing,Sailing Mixed 0-0.5 Ton,mixed,added,true_added,0-0.5 Ton,ton,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Sailing,Sailing Mixed 0.5-1 Ton,mixed,added,true_added,0.5-1 Ton,ton,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Sailing,Sailing Mixed 1-2 Ton,mixed,added,true_added,1-2 Ton,ton,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Sailing,Sailing Mixed 10-20 Ton,mixed,added,true_added,10-20 Ton,ton,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Sailing,Sailing Mixed 2-3 Ton,mixed,added,true_added,2-3 Ton,ton,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Sailing,Sailing Mixed 20+ Ton,mixed,added,true_added,20+ Ton,ton,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Sailing,Sailing Mixed 3-10 Ton,mixed,added,true_added,3-10 Ton,ton,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Sailing,Sailing Mixed Open,mixed,added,true_added,Sailing Mixed Open,sailing,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Shooting,"Shooting Men's Free Pistol, 30 metres",men,removed,removed,"Free Pistol, 30 metres",free pistol,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Shooting,"Shooting Men's Free Pistol, 50 metres",men,added,likely_renamed_or_reclassified,"Free Pistol, 50 metres",free pistol,0,0,1,0.0,medium,Same sport/sex standardized family appears among removed events in the same transition. Rule-based classification; not a perfect rename detector.
1900,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",men,added,true_added,"Free Pistol, 50 metres, Team",free pistol team,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Shooting,"Shooting Men's Free Rifle, Kneeling, 300 metres",men,added,true_added,"Free Rifle, Kneeling, 300 metres",free rifle kneeling,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Shooting,"Shooting Men's Free Rifle, Prone, 300 metres",men,added,true_added,"Free Rifle, Prone, 300 metres",free rifle prone,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Shooting,"Shooting Men's Free Rifle, Standing, 300 metres",men,added,true_added,"Free Rifle, Standing, 300 metres",free rifle standing,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",men,added,true_added,"Free Rifle, Three Positions, 300 metres, Team",free rifle three positions team,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Shooting,"Shooting Men's Military Pistol, 25 metres",men,removed,removed,"Military Pistol, 25 metres",military pistol,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Shooting,"Shooting Men's Military Rifle, 200 metres",men,removed,removed,"Military Rifle, 200 metres",military rifle,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres",men,removed,removed,"Muzzle-Loading Pistol, 25 metres",muzzle loading pistol,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Shooting,Shooting Men's Trap,men,added,true_added,Trap,trap,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Swimming,"Swimming Men's 1,000 metres Freestyle",men,added,likely_renamed_or_reclassified,"1,000 metres Freestyle",freestyle,0,0,1,0.0,medium,Same sport/sex standardized family appears among removed events in the same transition. Rule-based classification; not a perfect rename detector.
1900,Swimming,"Swimming Men's 1,200 metres Freestyle",men,removed,removed,"1,200 metres Freestyle",freestyle,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Swimming,Swimming Men's 100 metres Freestyle,men,removed,removed,100 metres Freestyle,freestyle,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Swimming,Swimming Men's 100 metres Freestyle For Sailors,men,removed,removed,100 metres Freestyle For Sailors,freestyle sailors,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Swimming,Swimming Men's 200 metres Backstroke,men,added,true_added,200 metres Backstroke,backstroke,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Swimming,Swimming Men's 200 metres Freestyle,men,added,likely_renamed_or_reclassified,200 metres Freestyle,freestyle,0,0,1,0.0,medium,Same sport/sex standardized family appears among removed events in the same transition. Rule-based classification; not a perfect rename detector.
1900,Swimming,Swimming Men's 200 metres Obstacle Course,men,added,true_added,200 metres Obstacle Course,obstacle course,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Swimming,Swimming Men's 200 metres Team Swimming,men,added,true_added,200 metres Team Swimming,team swimming,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Swimming,"Swimming Men's 4,000 metres Freestyle",men,added,likely_renamed_or_reclassified,"4,000 metres Freestyle",freestyle,0,0,1,0.0,medium,Same sport/sex standardized family appears among removed events in the same transition. Rule-based classification; not a perfect rename detector.
1900,Swimming,Swimming Men's 500 metres Freestyle,men,removed,removed,500 metres Freestyle,freestyle,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1900,Swimming,Swimming Men's Underwater Swimming,men,added,true_added,Underwater Swimming,underwater swimming,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Tennis,Tennis Mixed Doubles,mixed,added,true_added,Doubles,doubles,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Tennis,Tennis Women's Singles,women,added,true_added,Singles,singles,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,men,added,true_added,Tug-Of-War,tug war,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Water Polo,Water Polo Men's Water Polo,men,added,true_added,Water Polo,water polo,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1900,Weightlifting,"Weightlifting Men's Unlimited, One Hand",men,removed,removed,"Unlimited, One Hand",unlimited one hand,0,0,0,-1.0,medium,Raw adjacent-Games comparison shows the event absent in the current Games. Rule-based classification; not a perfect rename detector.
1900,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",men,removed,removed,"Unlimited, Two Hands",unlimited two hands,0,0,0,-1.0,medium,Raw adjacent-Games comparison shows the event absent in the current Games. Rule-based classification; not a perfect rename detector.
1900,Wrestling,"Wrestling Men's Unlimited Class, Greco-Roman",men,removed,removed,"Unlimited Class, Greco-Roman",unlimited greco roman,0,0,0,-1.0,medium,Raw adjacent-Games comparison shows the event absent in the current Games. Rule-based classification; not a perfect rename detector.
1904,Archery,"Archery Men's Au Chapelet, 33 metres",men,removed,removed,"Au Chapelet, 33 metres",au chapelet,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1904,Archery,"Archery Men's Au Chapelet, 50 metres",men,removed,removed,"Au Chapelet, 50 metres",au chapelet,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1904,Archery,"Archery Men's Au Cordon Dore, 33 metres",men,removed,removed,"Au Cordon Dore, 33 metres",au cordon dore,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1904,Archery,"Archery Men's Au Cordon Dore, 50 metres",men,removed,removed,"Au Cordon Dore, 50 metres",au cordon dore,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1904,Archery,Archery Men's Championnat Du Monde,men,removed,removed,Championnat Du Monde,championnat du monde,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1904,Archery,Archery Men's Double American Round,men,added,true_added,Double American Round,double american round,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1904,Archery,Archery Men's Double York Round,men,added,true_added,Double York Round,double york round,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1904,Archery,Archery Men's Sur La Perche a La Herse,men,removed,removed,Sur La Perche a La Herse,sur la perche la herse,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1904,Archery,Archery Men's Sur La Perche a La Pyramide,men,removed,removed,Sur La Perche a La Pyramide,sur la perche la pyramide,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1904,Archery,Archery Men's Team Round,men,added,true_added,Team Round,team round,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1904,Archery,Archery Men's Unknown Event,men,removed,removed,Unknown Event,,0,0,0,-1.0,medium,Raw adjacent-Games comparison shows the event absent in the current Games. Rule-based classification; not a perfect rename detector.
1904,Archery,Archery Women's Double Columbia Round,women,added,true_added,Double Columbia Round,double columbia round,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1904,Archery,Archery Women's Double National Round,women,added,true_added,Double National Round,double national round,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1904,Archery,Archery Women's Team Round,women,added,true_added,Team Round,team round,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1904,Athletics,"Athletics Men's 2,500 metres Steeplechase",men,removed,removed,"2,500 metres Steeplechase",steeplechase,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1904,Athletics,"Athletics Men's 2,590 metres Steeplechase",men,added,likely_renamed_or_reclassified,"2,590 metres Steeplechase",steeplechase,0,0,1,0.0,medium,Same sport/sex standardized family appears among removed events in the same transition. Rule-based classification; not a perfect rename detector.
1904,Athletics,"Athletics Men's 4 mile, Team",men,added,true_added,"4 mile, Team",mile team,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1904,Athletics,"Athletics Men's 4,000 metres Steeplechase",men,removed,removed,"4,000 metres Steeplechase",steeplechase,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1904,Athletics,"Athletics Men's 5,000 metres, Team",men,removed,removed,"5,000 metres, Team",team,0,0,0,-1.0,medium,Removal coincides with added/restored event in same sport; may be paired with reclassification. Rule-based classification; not a perfect rename detector.
1904,Athletics,Athletics Men's 56-pound Weight Throw,men,added,true_added,56-pound Weight Throw,pound weight throw,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1904,Athletics,Athletics Men's All-Around Championship,men,added,true_added,All-Around Championship,all around championship,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1904,Basque Pelota,Basque Pelota Men's Two-Man Teams With Cesta,men,removed,removed,Two-Man Teams With Cesta,two man teams cesta,0,0,0,-1.0,medium,Raw adjacent-Games comparison shows the event absent in the current Games. Rule-based classification; not a perfect rename detector.
1904,Boxing,Boxing Men's Bantamweight,men,added,true_added,Bantamweight,bantamweight,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1904,Boxing,Boxing Men's Featherweight,men,added,true_added,Featherweight,featherweight,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1904,Boxing,Boxing Men's Flyweight,men,added,true_added,Flyweight,flyweight,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1904,Boxing,Boxing Men's Heavyweight,men,added,true_added,Heavyweight,heavyweight,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1904,Boxing,Boxing Men's Lightweight,men,added,true_added,Lightweight,lightweight,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
1904,Boxing,Boxing Men's Middleweight,men,added,true_added,Middleweight,middleweight,1,0,0,1.0,medium,No same-transition standardized-family removal detected; conservatively treated as a true added medal opportunity. Rule-based classification; not a perfect rename detector.
