record_type,entity_id,recommended_for_presentation,reporting_risk_level,reporting_risk_reason,safer_interpretation,requires_external_validation
economic_interpretation,1900|FRA|France,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For France 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|GBR|United Kingdom,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For United Kingdom 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|GER|Germany,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Germany 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|HAI|Haiti,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Haiti 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|HUN|Hungary,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Hungary 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|IND|India,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For India 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|ITA|Italy,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Italy 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|LUX|Luxembourg,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Luxembourg 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|MEX|Mexico,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Mexico 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|NED|Netherlands,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Netherlands 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|NOR|Norway,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Norway 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|NZL|New Zealand,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For New Zealand 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|SUI|Switzerland,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Switzerland 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|SWE|Sweden,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Sweden 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1900|USA|United States,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For United States 1900, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1904|AUS|Australia,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Australia 1904, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1904|AUT|Austria,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Austria 1904, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1904|CAN|Canada,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Canada 1904, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1904|CUB|Cuba,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Cuba 1904, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1904|FRA|France,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For France 1904, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1904|GBR|United Kingdom,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For United Kingdom 1904, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1904|GER|Germany,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Germany 1904, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1904|GRE|Greece,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Greece 1904, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1904|HUN|Hungary,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Hungary 1904, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1904|NOR|Norway,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Norway 1904, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1904|SUI|Switzerland,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Switzerland 1904, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1904|USA|United States,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For United States 1904, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1906|AUS|Australia,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Australia 1906, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1906|AUT|Austria,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Austria 1906, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1906|BEL|Belgium,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Belgium 1906, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1906|BOH|Czechia,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Czechia 1906, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1906|CAN|Canada,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Canada 1906, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1906|DEN|Denmark,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Denmark 1906, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1906|FIN|Finland,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Finland 1906, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1906|FRA|France,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For France 1906, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1906|GBR|United Kingdom,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For United Kingdom 1906, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1906|GER|Germany,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Germany 1906, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1906|GRE|Greece,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Greece 1906, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1906|HUN|Hungary,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Hungary 1906, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1906|ITA|Italy,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Italy 1906, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1906|NED|Netherlands,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Netherlands 1906, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1906|NOR|Norway,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Norway 1906, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1906|SUI|Switzerland,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Switzerland 1906, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1906|SWE|Sweden,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Sweden 1906, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1906|USA|United States,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For United States 1906, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1908|ANZ|Australia,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Australia 1908, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1908|AUT|Austria,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Austria 1908, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1908|BEL|Belgium,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Belgium 1908, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1908|BOH|Czechia,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Czechia 1908, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1908|CAN|Canada,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Canada 1908, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1908|DEN|Denmark,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Denmark 1908, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1908|FIN|Finland,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Finland 1908, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1908|FRA|France,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For France 1908, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1908|GBR|United Kingdom,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For United Kingdom 1908, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1908|GER|Germany,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Germany 1908, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1908|GRE|Greece,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Greece 1908, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1908|HUN|Hungary,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Hungary 1908, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1908|ITA|Italy,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Italy 1908, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1908|NED|Netherlands,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Netherlands 1908, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1908|NOR|Norway,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Norway 1908, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1908|RSA|South Africa,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For South Africa 1908, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1908|RUS|Russia,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Russia 1908, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1908|SWE|Sweden,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Sweden 1908, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1908|USA|United States,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For United States 1908, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1912|ANZ|Australia,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Australia 1912, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1912|AUT|Austria,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Austria 1912, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1912|BEL|Belgium,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Belgium 1912, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1912|CAN|Canada,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Canada 1912, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1912|DEN|Denmark,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Denmark 1912, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1912|FIN|Finland,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Finland 1912, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1912|FRA|France,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For France 1912, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1912|GBR|United Kingdom,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For United Kingdom 1912, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1912|GER|Germany,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Germany 1912, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1912|GRE|Greece,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Greece 1912, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1912|HUN|Hungary,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Hungary 1912, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1912|ITA|Italy,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Italy 1912, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1912|NED|Netherlands,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Netherlands 1912, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1912|NOR|Norway,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Norway 1912, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1912|RSA|South Africa,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For South Africa 1912, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1912|RUS|Russia,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Russia 1912, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1912|SUI|Switzerland,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Switzerland 1912, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1912|SWE|Sweden,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Sweden 1912, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1912|USA|United States,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For United States 1912, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1920|AUS|Australia,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Australia 1920, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1920|BEL|Belgium,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Belgium 1920, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1920|BRA|Brazil,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Brazil 1920, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1920|CAN|Canada,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Canada 1920, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1920|DEN|Denmark,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Denmark 1920, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1920|ESP|Spain,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Spain 1920, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1920|EST|Estonia,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Estonia 1920, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1920|FIN|Finland,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For Finland 1920, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
economic_interpretation,1920|FRA|France,not_recommended_for_direct_presentation,high,GDP total and/or population match is missing or incomplete; economic-normalized ratios and overperformance baselines are fragile.,"For France 1920, describe medal scale only or use economic metrics as incomplete-data context, not as a strong economic mechanism.",1
