sport,modern_year_min,modern_year_max,active_modern_sport_flag,countries_winning_medals_mean_modern,sport_country_hhi_mean_modern,top1_share_mean_modern,new_country_medal_count_modern,female_event_growth_rate_modern,medal_opportunity_count_modern,repeat_winner_rate_modern,breakthrough_friendliness_index_modern,entry_barrier_index_modern,modern_sport_type,recommendation_note,index_note
Swimming,1992,2024,1,19.555555555555557,0.1400735380065931,0.294572440776996,20,0.2,896,0.8863636363636364,0.537145445480376,0.462854554519624,Modern medium-barrier sport,"Modern barrier indicators are moderate; use as strategy reference, not as a medal prediction.","Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Sailing,1992,2024,1,17.11111111111111,0.0847403326191205,0.16498316498316498,13,0.3333333333333333,279,0.9155844155844156,0.536848002483525,0.46315199751647496,Modern medium-barrier sport,"Modern barrier indicators are moderate; use as strategy reference, not as a medal prediction.","Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Cycling Track,2020,2024,1,14.0,0.11265432098765432,0.20833333333333331,19,-0.14285714285714285,72,0.32142857142857145,0.5074850776019267,0.49251492239807326,Modern medium-barrier sport,"Modern barrier indicators are moderate; use as strategy reference, not as a medal prediction.","Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Fencing,1992,2024,1,11.11111111111111,0.13791838134430728,0.2212962962962963,15,2.0,276,0.85,0.49483212848003605,0.5051678715199639,Modern medium-barrier sport,"Modern barrier indicators are moderate; use as strategy reference, not as a medal prediction.","Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Tennis,1992,2024,1,9.222222222222221,0.13642361111111112,0.22083333333333333,20,0.0,124,0.7590361445783133,0.451728040719304,0.5482719592806959,Modern medium-barrier sport,"Modern barrier indicators are moderate; use as strategy reference, not as a medal prediction.","Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Breaking,2024,2024,1,6.0,0.16666666666666669,0.16666666666666666,6,0.0,6,0.0,0.40951232909718,0.59048767090282,Modern medium-barrier sport,"Modern barrier indicators are moderate; use as strategy reference, not as a medal prediction.","Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Canoe Slalom,2020,2024,1,8.5,0.16512345679012347,0.2777777777777778,12,0.5,30,0.29411764705882354,0.39632611552631836,0.6036738844736816,Modern medium-barrier sport,"Modern barrier indicators are moderate; use as strategy reference, not as a medal prediction.","Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Sport Climbing,2020,2024,1,6.5,0.18055555555555555,0.25,9,1.0,18,0.3076923076923077,0.38532287285786815,0.6146771271421319,Modern medium-barrier sport,"Modern barrier indicators are moderate; use as strategy reference, not as a medal prediction.","Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Equestrian,2020,2024,1,8.5,0.17901234567901236,0.2777777777777778,11,0.0,36,0.35294117647058826,0.3680157086086165,0.6319842913913836,Modern medium-barrier sport,"Modern barrier indicators are moderate; use as strategy reference, not as a medal prediction.","Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
3x3 Basketball,2020,2024,1,5.5,0.19444444444444445,0.25,10,0.0,12,0.09090909090909091,0.3622671520295538,0.6377328479704463,Modern medium-barrier sport,"Modern barrier indicators are moderate; use as strategy reference, not as a medal prediction.","Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Modern Pentathlon,1992,2024,1,5.111111111111111,0.2160493827160494,0.25925925925925924,15,1.0,51,0.6739130434782609,0.3572895332958031,0.642710466704197,Modern medium-barrier sport,"Modern barrier indicators are moderate; use as strategy reference, not as a medal prediction.","Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Football,1992,2024,1,5.444444444444445,0.19753086419753088,0.2222222222222222,9,1.0,51,0.8163265306122449,0.35673787397116874,0.6432621260288313,Modern medium-barrier sport,"Modern barrier indicators are moderate; use as strategy reference, not as a medal prediction.","Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Golf,2016,2024,1,5.666666666666667,0.1851851851851852,0.2222222222222222,8,0.0,18,0.5294117647058824,0.3515028667331342,0.6484971332668659,Modern medium-barrier sport,"Modern barrier indicators are moderate; use as strategy reference, not as a medal prediction.","Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Rugby Sevens,2016,2024,1,5.333333333333333,0.20370370370370372,0.2222222222222222,9,0.0,18,0.4375,0.3452811828978055,0.6547188171021945,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Cycling BMX Freestyle,2020,2024,1,5.5,0.19444444444444448,0.25,8,0.0,12,0.2727272727272727,0.34456152432392606,0.6554384756760739,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Handball,1992,2024,1,5.555555555555555,0.19135802469135804,0.24074074074074073,11,0.0,54,0.78,0.3409138182321279,0.6590861817678721,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Water Polo,1992,2024,1,4.888888888888889,0.22839506172839505,0.2777777777777778,8,1.0,48,0.8181818181818182,0.30255913277797497,0.697440867222025,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Cycling Road,2020,2024,1,6.5,0.2152777777777778,0.35416666666666663,10,0.0,20,0.23076923076923078,0.29919527401769164,0.7008047259823084,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Beach Volleyball,1996,2024,1,4.5,0.2569444444444445,0.3125,15,0.0,48,0.5833333333333334,0.28237679118654657,0.7176232088134534,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Triathlon,2000,2024,1,4.857142857142857,0.24426807760141095,0.35714285714285715,16,0.0,45,0.5294117647058824,0.28028061057235987,0.7197193894276401,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Volleyball,1992,2024,1,5.111111111111111,0.21604938271604937,0.2962962962962963,7,0.0,54,0.8478260869565217,0.27633823265700713,0.7236617673429928,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Archery,1992,2024,1,7.222222222222222,0.21308641975308643,0.36851851851851847,10,0.0,114,0.8461538461538461,0.2746721907497921,0.7253278092502079,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Surfing,2020,2024,1,4.5,0.25,0.3333333333333333,6,0.0,12,0.3333333333333333,0.2510893530003159,0.7489106469996841,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Badminton,1992,2024,1,6.333333333333333,0.25728395061728393,0.3851851851851852,13,0.0,135,0.7719298245614035,0.24897111441370115,0.7510288855862989,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Basketball,1992,2024,1,4.555555555555555,0.2469135802469136,0.3333333333333333,9,0.0,54,0.7804878048780488,0.24650906574597148,0.7534909342540286,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Artistic Swimming,2020,2024,1,4.0,0.2777777777777778,0.3333333333333333,7,0.0,12,0.125,0.24340243245910448,0.7565975675408956,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Hockey,1992,2024,1,4.888888888888889,0.22839506172839505,0.2962962962962963,2,0.0,54,0.9545454545454546,0.24020894595962983,0.7597910540403702,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Diving,1992,2024,1,7.111111111111111,0.2627314814814815,0.4305555555555556,8,1.0,192,0.875,0.23132759422071592,0.7686724057792841,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Skateboarding,2020,2024,1,5.0,0.2569444444444444,0.375,5,0.0,24,0.5,0.21830280017045042,0.7816971998295495,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Marathon Swimming,2020,2024,1,4.0,0.33333333333333337,0.3333333333333333,6,0.0,8,0.25,0.19166589395851738,0.8083341060414826,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Trampoline Gymnastics,2020,2024,1,4.0,0.3055555555555556,0.41666666666666663,6,0.0,12,0.25,0.17567297634633325,0.8243270236536667,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Rhythmic Gymnastics,1992,2024,1,3.7777777777777777,0.3333333333333333,0.4444444444444444,11,1.0,51,0.6764705882352942,0.16698594941532938,0.8330140505846706,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Cycling BMX Racing,2020,2024,1,3.5,0.33333333333333337,0.41666666666666663,6,0.0,12,0.14285714285714285,0.15859469319947347,0.8414053068005265,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Table Tennis,1992,2024,1,4.888888888888889,0.3619753086419753,0.5296296296296297,8,0.0,117,0.8181818181818182,0.07722153598022131,0.9227784640197787,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
Cycling Mountain Bike,2020,2024,1,3.5,0.39,0.5333333333333333,7,0.0,11,0.0,0.07711692095966947,0.9228830790403305,Modern high-barrier incumbent sport,Modern medal concentration or repeat-winner persistence is high; breakthroughs likely require longer-cycle investment.,"Modern entry-barrier index uses 1992-2024 medal distribution, new-country entries, opportunity breadth and repeat-winner persistence. It is a strategy reference, not a medal prediction."
