year,sport,event,sex,change_type,event_family,note
1900,Swimming,Swimming Men's 200 metres Team Swimming,men,added,200 metres Team Swimming,Detected from adjacent Summer Games event-set comparison.
1900,Swimming,"Swimming Men's 4,000 metres Freestyle",men,added,"4,000 metres Freestyle",Detected from adjacent Summer Games event-set comparison.
1900,Swimming,Swimming Men's Underwater Swimming,men,added,Underwater Swimming,Detected from adjacent Summer Games event-set comparison.
1900,Tennis,Tennis Mixed Doubles,mixed,added,Doubles,Detected from adjacent Summer Games event-set comparison.
1900,Tennis,Tennis Women's Singles,women,added,Singles,Detected from adjacent Summer Games event-set comparison.
1900,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,men,added,Tug-Of-War,Detected from adjacent Summer Games event-set comparison.
1900,Water Polo,Water Polo Men's Water Polo,men,added,Water Polo,Detected from adjacent Summer Games event-set comparison.
1900,Cycling,"Cycling Men's 10,000 metres",men,removed,"10,000 metres",Present in 1896 but absent in 1900.
1900,Cycling,Cycling Men's 100 kilometres,men,removed,100 kilometres,Present in 1896 but absent in 1900.
1900,Cycling,Cycling Men's 12-Hours Race,men,removed,12-Hours Race,Present in 1896 but absent in 1900.
1900,Cycling,Cycling Men's 333 metres Time Trial,men,removed,333 metres Time Trial,Present in 1896 but absent in 1900.
1900,Cycling,"Cycling Men's Road Race, Individual",men,removed,"Road Race, Individual",Present in 1896 but absent in 1900.
1900,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",men,removed,"Horizontal Bar, Teams",Present in 1896 but absent in 1900.
1900,Gymnastics,Gymnastics Men's Horizontal Bar,men,removed,Horizontal Bar,Present in 1896 but absent in 1900.
1900,Gymnastics,Gymnastics Men's Horse Vault,men,removed,Horse Vault,Present in 1896 but absent in 1900.
1900,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",men,removed,"Parallel Bars, Teams",Present in 1896 but absent in 1900.
1900,Gymnastics,Gymnastics Men's Parallel Bars,men,removed,Parallel Bars,Present in 1896 but absent in 1900.
1900,Gymnastics,Gymnastics Men's Pommelled Horse,men,removed,Pommelled Horse,Present in 1896 but absent in 1900.
1900,Gymnastics,Gymnastics Men's Rings,men,removed,Rings,Present in 1896 but absent in 1900.
1900,Gymnastics,Gymnastics Men's Rope Climbing,men,removed,Rope Climbing,Present in 1896 but absent in 1900.
1900,Shooting,"Shooting Men's Free Pistol, 30 metres",men,removed,"Free Pistol, 30 metres",Present in 1896 but absent in 1900.
1900,Shooting,"Shooting Men's Military Pistol, 25 metres",men,removed,"Military Pistol, 25 metres",Present in 1896 but absent in 1900.
1900,Shooting,"Shooting Men's Military Rifle, 200 metres",men,removed,"Military Rifle, 200 metres",Present in 1896 but absent in 1900.
1900,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres",men,removed,"Muzzle-Loading Pistol, 25 metres",Present in 1896 but absent in 1900.
1900,Swimming,"Swimming Men's 1,200 metres Freestyle",men,removed,"1,200 metres Freestyle",Present in 1896 but absent in 1900.
1900,Swimming,Swimming Men's 100 metres Freestyle For Sailors,men,removed,100 metres Freestyle For Sailors,Present in 1896 but absent in 1900.
1900,Swimming,Swimming Men's 100 metres Freestyle,men,removed,100 metres Freestyle,Present in 1896 but absent in 1900.
1900,Swimming,Swimming Men's 500 metres Freestyle,men,removed,500 metres Freestyle,Present in 1896 but absent in 1900.
1900,Weightlifting,"Weightlifting Men's Unlimited, One Hand",men,removed,"Unlimited, One Hand",Present in 1896 but absent in 1900.
1900,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",men,removed,"Unlimited, Two Hands",Present in 1896 but absent in 1900.
1900,Wrestling,"Wrestling Men's Unlimited Class, Greco-Roman",men,removed,"Unlimited Class, Greco-Roman",Present in 1896 but absent in 1900.
1904,Archery,Archery Men's Double American Round,men,added,Double American Round,Detected from adjacent Summer Games event-set comparison.
1904,Archery,Archery Men's Double York Round,men,added,Double York Round,Detected from adjacent Summer Games event-set comparison.
1904,Archery,Archery Men's Team Round,men,added,Team Round,Detected from adjacent Summer Games event-set comparison.
1904,Archery,Archery Women's Double Columbia Round,women,added,Double Columbia Round,Detected from adjacent Summer Games event-set comparison.
1904,Archery,Archery Women's Double National Round,women,added,Double National Round,Detected from adjacent Summer Games event-set comparison.
1904,Archery,Archery Women's Team Round,women,added,Team Round,Detected from adjacent Summer Games event-set comparison.
1904,Athletics,"Athletics Men's 2,590 metres Steeplechase",men,added,"2,590 metres Steeplechase",Detected from adjacent Summer Games event-set comparison.
1904,Athletics,"Athletics Men's 4 mile, Team",men,added,"4 mile, Team",Detected from adjacent Summer Games event-set comparison.
1904,Athletics,Athletics Men's 56-pound Weight Throw,men,added,56-pound Weight Throw,Detected from adjacent Summer Games event-set comparison.
1904,Athletics,Athletics Men's All-Around Championship,men,added,All-Around Championship,Detected from adjacent Summer Games event-set comparison.
1904,Boxing,Boxing Men's Bantamweight,men,added,Bantamweight,Detected from adjacent Summer Games event-set comparison.
1904,Boxing,Boxing Men's Featherweight,men,added,Featherweight,Detected from adjacent Summer Games event-set comparison.
1904,Boxing,Boxing Men's Flyweight,men,added,Flyweight,Detected from adjacent Summer Games event-set comparison.
1904,Boxing,Boxing Men's Heavyweight,men,added,Heavyweight,Detected from adjacent Summer Games event-set comparison.
1904,Boxing,Boxing Men's Lightweight,men,added,Lightweight,Detected from adjacent Summer Games event-set comparison.
1904,Boxing,Boxing Men's Middleweight,men,added,Middleweight,Detected from adjacent Summer Games event-set comparison.
1904,Boxing,Boxing Men's Welterweight,men,added,Welterweight,Detected from adjacent Summer Games event-set comparison.
1904,Cycling,Cycling Men's 1 mile,men,added,1 mile,Detected from adjacent Summer Games event-set comparison.
1904,Cycling,Cycling Men's 1/2 mile,men,added,1/2 mile,Detected from adjacent Summer Games event-set comparison.
1904,Cycling,Cycling Men's 1/3 mile,men,added,1/3 mile,Detected from adjacent Summer Games event-set comparison.
1904,Cycling,Cycling Men's 1/4 mile,men,added,1/4 mile,Detected from adjacent Summer Games event-set comparison.
1904,Cycling,Cycling Men's 2 mile,men,added,2 mile,Detected from adjacent Summer Games event-set comparison.
1904,Cycling,Cycling Men's 25 mile,men,added,25 mile,Detected from adjacent Summer Games event-set comparison.
1904,Cycling,Cycling Men's 5 mile,men,added,5 mile,Detected from adjacent Summer Games event-set comparison.
1904,Diving,Diving Men's Springboard,men,added,Springboard,Detected from adjacent Summer Games event-set comparison.
1904,Fencing,"Fencing Men's Foil, Team",men,added,"Foil, Team",Detected from adjacent Summer Games event-set comparison.
1904,Fencing,"Fencing Men's Single Sticks, Individual",men,added,"Single Sticks, Individual",Detected from adjacent Summer Games event-set comparison.
1904,Golf,Golf Men's Team,men,added,Team,Detected from adjacent Summer Games event-set comparison.
1904,Gymnastics,Gymnastics Men's Club Swinging,men,added,Club Swinging,Detected from adjacent Summer Games event-set comparison.
1904,Gymnastics,Gymnastics Men's Horizontal Bar,men,restored,Horizontal Bar,Detected from adjacent Summer Games event-set comparison.
1904,Gymnastics,Gymnastics Men's Horse Vault,men,restored,Horse Vault,Detected from adjacent Summer Games event-set comparison.
1904,Gymnastics,"Gymnastics Men's Individual All-Around, 4 Events",men,added,"Individual All-Around, 4 Events",Detected from adjacent Summer Games event-set comparison.
1904,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",men,added,"Individual All-Around, Apparatus Work",Detected from adjacent Summer Games event-set comparison.
1904,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports",men,added,"Individual All-Around, Field Sports",Detected from adjacent Summer Games event-set comparison.
1904,Gymnastics,Gymnastics Men's Parallel Bars,men,restored,Parallel Bars,Detected from adjacent Summer Games event-set comparison.
1904,Gymnastics,Gymnastics Men's Rings,men,restored,Rings,Detected from adjacent Summer Games event-set comparison.
1904,Gymnastics,Gymnastics Men's Rope Climbing,men,restored,Rope Climbing,Detected from adjacent Summer Games event-set comparison.
1904,Gymnastics,Gymnastics Men's Side Horse,men,added,Side Horse,Detected from adjacent Summer Games event-set comparison.
1904,Gymnastics,Gymnastics Men's Team All-Around,men,added,Team All-Around,Detected from adjacent Summer Games event-set comparison.
1904,Lacrosse,Lacrosse Men's Lacrosse,men,added,Lacrosse,Detected from adjacent Summer Games event-set comparison.
1904,Roque,Roque Men's Singles,men,added,Singles,Detected from adjacent Summer Games event-set comparison.
1904,Rowing,Rowing Men's Coxless Fours,men,added,Coxless Fours,Detected from adjacent Summer Games event-set comparison.
1904,Rowing,Rowing Men's Coxless Pairs,men,added,Coxless Pairs,Detected from adjacent Summer Games event-set comparison.
1904,Rowing,Rowing Men's Double Sculls,men,added,Double Sculls,Detected from adjacent Summer Games event-set comparison.
1904,Swimming,Swimming Men's 100 Yard Backstroke,men,added,100 Yard Backstroke,Detected from adjacent Summer Games event-set comparison.
1904,Swimming,Swimming Men's 100 yard Freestyle,men,added,100 yard Freestyle,Detected from adjacent Summer Games event-set comparison.
1904,Swimming,Swimming Men's 220 yard Freestyle,men,added,220 yard Freestyle,Detected from adjacent Summer Games event-set comparison.
1904,Swimming,Swimming Men's 4 x 50 Yard Freestyle Relay,men,added,4 x 50 Yard Freestyle Relay,Detected from adjacent Summer Games event-set comparison.
1904,Swimming,Swimming Men's 440 Yard Breaststroke,men,added,440 Yard Breaststroke,Detected from adjacent Summer Games event-set comparison.
1904,Swimming,Swimming Men's 440 yard Freestyle,men,added,440 yard Freestyle,Detected from adjacent Summer Games event-set comparison.
1904,Swimming,Swimming Men's 50 yard Freestyle,men,added,50 yard Freestyle,Detected from adjacent Summer Games event-set comparison.
1904,Swimming,Swimming Men's 880 yard Freestyle,men,added,880 yard Freestyle,Detected from adjacent Summer Games event-set comparison.
1904,Swimming,Swimming Men's One Mile Freestyle,men,added,One Mile Freestyle,Detected from adjacent Summer Games event-set comparison.
1904,Swimming,Swimming Men's Plunge For Distance,men,added,Plunge For Distance,Detected from adjacent Summer Games event-set comparison.
1904,Weightlifting,Weightlifting Men's All-Around Dumbbell Contest,men,added,All-Around Dumbbell Contest,Detected from adjacent Summer Games event-set comparison.
1904,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",men,restored,"Unlimited, Two Hands",Detected from adjacent Summer Games event-set comparison.
1904,Wrestling,"Wrestling Men's Bantamweight, Freestyle",men,added,"Bantamweight, Freestyle",Detected from adjacent Summer Games event-set comparison.
1904,Wrestling,"Wrestling Men's Featherweight, Freestyle",men,added,"Featherweight, Freestyle",Detected from adjacent Summer Games event-set comparison.
1904,Wrestling,"Wrestling Men's Flyweight, Freestyle",men,added,"Flyweight, Freestyle",Detected from adjacent Summer Games event-set comparison.
1904,Wrestling,"Wrestling Men's Heavyweight, Freestyle",men,added,"Heavyweight, Freestyle",Detected from adjacent Summer Games event-set comparison.
1904,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",men,added,"Light-Flyweight, Freestyle",Detected from adjacent Summer Games event-set comparison.
1904,Wrestling,"Wrestling Men's Lightweight, Freestyle",men,added,"Lightweight, Freestyle",Detected from adjacent Summer Games event-set comparison.
1904,Wrestling,"Wrestling Men's Welterweight, Freestyle",men,added,"Welterweight, Freestyle",Detected from adjacent Summer Games event-set comparison.
1904,Archery,"Archery Men's Au Chapelet, 33 metres",men,removed,"Au Chapelet, 33 metres",Present in 1900 but absent in 1904.
1904,Archery,"Archery Men's Au Chapelet, 50 metres",men,removed,"Au Chapelet, 50 metres",Present in 1900 but absent in 1904.
1904,Archery,"Archery Men's Au Cordon Dore, 33 metres",men,removed,"Au Cordon Dore, 33 metres",Present in 1900 but absent in 1904.
1904,Archery,"Archery Men's Au Cordon Dore, 50 metres",men,removed,"Au Cordon Dore, 50 metres",Present in 1900 but absent in 1904.
1904,Archery,Archery Men's Championnat Du Monde,men,removed,Championnat Du Monde,Present in 1900 but absent in 1904.
1904,Archery,Archery Men's Sur La Perche a La Herse,men,removed,Sur La Perche a La Herse,Present in 1900 but absent in 1904.
1904,Archery,Archery Men's Sur La Perche a La Pyramide,men,removed,Sur La Perche a La Pyramide,Present in 1900 but absent in 1904.
1904,Archery,Archery Men's Unknown Event,men,removed,Unknown Event,Present in 1900 but absent in 1904.
1904,Athletics,"Athletics Men's 2,500 metres Steeplechase",men,removed,"2,500 metres Steeplechase",Present in 1900 but absent in 1904.
1904,Athletics,"Athletics Men's 4,000 metres Steeplechase",men,removed,"4,000 metres Steeplechase",Present in 1900 but absent in 1904.
1904,Athletics,"Athletics Men's 5,000 metres, Team",men,removed,"5,000 metres, Team",Present in 1900 but absent in 1904.
1904,Basque Pelota,Basque Pelota Men's Two-Man Teams With Cesta,men,removed,Two-Man Teams With Cesta,Present in 1900 but absent in 1904.
1904,Cricket,Cricket Men's Cricket,men,removed,Cricket,Present in 1900 but absent in 1904.
1904,Croquet,Croquet Mixed Doubles,mixed,removed,Doubles,Present in 1900 but absent in 1904.
1904,Croquet,"Croquet Mixed Singles, One Ball",mixed,removed,"Singles, One Ball",Present in 1900 but absent in 1904.
1904,Croquet,"Croquet Mixed Singles, Two Balls",mixed,removed,"Singles, Two Balls",Present in 1900 but absent in 1904.
1904,Cycling,Cycling Men's 25 kilometres,men,removed,25 kilometres,Present in 1900 but absent in 1904.
1904,Cycling,Cycling Men's Points Race,men,removed,Points Race,Present in 1900 but absent in 1904.
1904,Cycling,Cycling Men's Sprint,men,removed,Sprint,Present in 1900 but absent in 1904.
1904,Equestrianism,Equestrianism Mixed Four-In-Hand Competition,mixed,removed,Four-In-Hand Competition,Present in 1900 but absent in 1904.
1904,Equestrianism,Equestrianism Mixed Hacks And Hunter Combined,mixed,removed,Hacks And Hunter Combined,Present in 1900 but absent in 1904.
1904,Equestrianism,Equestrianism Mixed High Jump,mixed,removed,High Jump,Present in 1900 but absent in 1904.
1904,Equestrianism,"Equestrianism Mixed Jumping, Individual",mixed,removed,"Jumping, Individual",Present in 1900 but absent in 1904.
1904,Equestrianism,Equestrianism Mixed Long Jump,mixed,removed,Long Jump,Present in 1900 but absent in 1904.
1904,Fencing,"Fencing Men's Foil, Masters, Individual",men,removed,"Foil, Masters, Individual",Present in 1900 but absent in 1904.
1904,Fencing,"Fencing Men's Sabre, Masters, Individual",men,removed,"Sabre, Masters, Individual",Present in 1900 but absent in 1904.
1904,Fencing,"Fencing Men's epee, Masters and Amateurs, Individual",men,removed,"epee, Masters and Amateurs, Individual",Present in 1900 but absent in 1904.
1904,Fencing,"Fencing Men's epee, Masters, Individual",men,removed,"epee, Masters, Individual",Present in 1900 but absent in 1904.
1904,Golf,Golf Women's Individual,women,removed,Individual,Present in 1900 but absent in 1904.
1904,Polo,Polo Men's Polo,men,removed,Polo,Present in 1900 but absent in 1904.
1904,Rowing,Rowing Men's Coxed Fours,men,removed,Coxed Fours,Present in 1900 but absent in 1904.
1904,Rowing,Rowing Men's Coxed Pairs,men,removed,Coxed Pairs,Present in 1900 but absent in 1904.
1904,Rugby,Rugby Men's Rugby,men,removed,Rugby,Present in 1900 but absent in 1904.
1904,Sailing,Sailing Mixed 0-0.5 Ton,mixed,removed,0-0.5 Ton,Present in 1900 but absent in 1904.
1904,Sailing,Sailing Mixed 0.5-1 Ton,mixed,removed,0.5-1 Ton,Present in 1900 but absent in 1904.
1904,Sailing,Sailing Mixed 1-2 Ton,mixed,removed,1-2 Ton,Present in 1900 but absent in 1904.
1904,Sailing,Sailing Mixed 10-20 Ton,mixed,removed,10-20 Ton,Present in 1900 but absent in 1904.
1904,Sailing,Sailing Mixed 2-3 Ton,mixed,removed,2-3 Ton,Present in 1900 but absent in 1904.
1904,Sailing,Sailing Mixed 20+ Ton,mixed,removed,20+ Ton,Present in 1900 but absent in 1904.
1904,Sailing,Sailing Mixed 3-10 Ton,mixed,removed,3-10 Ton,Present in 1900 but absent in 1904.
1904,Sailing,Sailing Mixed Open,mixed,removed,Sailing Mixed Open,Present in 1900 but absent in 1904.
1904,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",men,removed,"Free Pistol, 50 metres, Team",Present in 1900 but absent in 1904.
1904,Shooting,"Shooting Men's Free Pistol, 50 metres",men,removed,"Free Pistol, 50 metres",Present in 1900 but absent in 1904.
1904,Shooting,"Shooting Men's Free Rifle, Kneeling, 300 metres",men,removed,"Free Rifle, Kneeling, 300 metres",Present in 1900 but absent in 1904.
1904,Shooting,"Shooting Men's Free Rifle, Prone, 300 metres",men,removed,"Free Rifle, Prone, 300 metres",Present in 1900 but absent in 1904.
1904,Shooting,"Shooting Men's Free Rifle, Standing, 300 metres",men,removed,"Free Rifle, Standing, 300 metres",Present in 1900 but absent in 1904.
1904,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",men,removed,"Free Rifle, Three Positions, 300 metres, Team",Present in 1900 but absent in 1904.
1904,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",men,removed,"Free Rifle, Three Positions, 300 metres",Present in 1900 but absent in 1904.
1904,Shooting,Shooting Men's Trap,men,removed,Trap,Present in 1900 but absent in 1904.
1904,Swimming,"Swimming Men's 1,000 metres Freestyle",men,removed,"1,000 metres Freestyle",Present in 1900 but absent in 1904.
1904,Swimming,Swimming Men's 200 metres Backstroke,men,removed,200 metres Backstroke,Present in 1900 but absent in 1904.
1904,Swimming,Swimming Men's 200 metres Freestyle,men,removed,200 metres Freestyle,Present in 1900 but absent in 1904.
1904,Swimming,Swimming Men's 200 metres Obstacle Course,men,removed,200 metres Obstacle Course,Present in 1900 but absent in 1904.
1904,Swimming,Swimming Men's 200 metres Team Swimming,men,removed,200 metres Team Swimming,Present in 1900 but absent in 1904.
1904,Swimming,"Swimming Men's 4,000 metres Freestyle",men,removed,"4,000 metres Freestyle",Present in 1900 but absent in 1904.
1904,Swimming,Swimming Men's Underwater Swimming,men,removed,Underwater Swimming,Present in 1900 but absent in 1904.
1904,Tennis,Tennis Mixed Doubles,mixed,removed,Doubles,Present in 1900 but absent in 1904.
1904,Tennis,Tennis Women's Singles,women,removed,Singles,Present in 1900 but absent in 1904.
1906,Athletics,"Athletics Men's 1,500 metres Walk",men,added,"1,500 metres Walk",Detected from adjacent Summer Games event-set comparison.
1906,Athletics,"Athletics Men's 3,000 metres Walk",men,added,"3,000 metres Walk",Detected from adjacent Summer Games event-set comparison.
1906,Athletics,Athletics Men's 5 mile,men,added,5 mile,Detected from adjacent Summer Games event-set comparison.
1906,Athletics,"Athletics Men's Discus Throw, Greek Style",men,added,"Discus Throw, Greek Style",Detected from adjacent Summer Games event-set comparison.
1906,Athletics,"Athletics Men's Javelin Throw, Freestyle",men,added,"Javelin Throw, Freestyle",Detected from adjacent Summer Games event-set comparison.
1906,Athletics,Athletics Men's Pentathlon (Ancient),men,added,Pentathlon (Ancient),Detected from adjacent Summer Games event-set comparison.
1906,Athletics,Athletics Men's Stone Throw,men,added,Stone Throw,Detected from adjacent Summer Games event-set comparison.
1906,Cycling,Cycling Men's 20 kilometres,men,added,20 kilometres,Detected from adjacent Summer Games event-set comparison.
1906,Cycling,Cycling Men's 333 metres Time Trial,men,restored,333 metres Time Trial,Detected from adjacent Summer Games event-set comparison.
1906,Cycling,"Cycling Men's 5,000 metres",men,added,"5,000 metres",Detected from adjacent Summer Games event-set comparison.
1906,Cycling,"Cycling Men's Road Race, Individual",men,restored,"Road Race, Individual",Detected from adjacent Summer Games event-set comparison.
1906,Cycling,Cycling Men's Sprint,men,restored,Sprint,Detected from adjacent Summer Games event-set comparison.
1906,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",men,added,"Tandem Sprint, 2,000 metres",Detected from adjacent Summer Games event-set comparison.
1906,Diving,Diving Men's Platform,men,added,Platform,Detected from adjacent Summer Games event-set comparison.
1906,Fencing,"Fencing Men's Sabre, Individual, Three Hits",men,added,"Sabre, Individual, Three Hits",Detected from adjacent Summer Games event-set comparison.
1906,Fencing,"Fencing Men's Sabre, Masters, Individual",men,restored,"Sabre, Masters, Individual",Detected from adjacent Summer Games event-set comparison.
